N_tilde,t_Q,root
14.227272727272727,41.47272727272727,27.81547460433111
14.227272727272727,42.481818181818184,28.683890308945227
14.227272727272727,43.49090909090909,29.554735563444687
14.227272727272727,44.5,30.427911225751338
14.227272727272727,45.50909090909091,31.30332436696123
14.227272727272727,46.518181818181816,32.180887754267545
14.227272727272727,47.527272727272724,33.0605193869596
14.227272727272727,48.53636363636364,33.94214207907396
14.227272727272727,49.54545454545455,34.825683083156406
14.227272727272727,50.554545454545455,35.71107375036639
14.227272727272727,51.56363636363636,36.59824922275851
14.227272727272727,52.57272727272727,37.48714815415279
14.227272727272727,53.58181818181818,38.3777124564471
14.227272727272727,54.590909090909086,39.269887068628314
14.227272727272727,55.6,40.16361974607752
14.227272727272727,56.60909090909091,41.05886086805711
14.227272727272727,57.61818181818182,41.95556326152066
14.227272727272727,58.627272727272725,42.853682039604514
14.227272727272727,59.63636363636363,43.75317445335002
14.227272727272727,60.64545454545454,44.653999755370556
14.227272727272727,61.654545454545456,45.55611907432094
14.227272727272727,62.663636363636364,46.459495299152884
14.227272727272727,63.67272727272727,47.364092972250326
14.227272727272727,64.68181818181817,48.2698781906349
14.227272727272727,65.69090909090909,49.17681851451739
14.227272727272727,66.69999999999999,50.08488288254518
14.227272727272727,67.7090909090909,50.994041533163
14.227272727272727,68.7181818181818,51.904265931561916
14.227272727272727,69.72727272727272,52.815528701744164
14.227272727272727,70.73636363636362,53.727803563276964
14.227272727272727,71.74545454545454,54.64106527235036
14.227272727272727,72.75454545454545,55.55528956678963
14.227272727272727,73.76363636363635,56.470453114706594
14.227272727272727,74.77272727272727,57.38653346650251
14.227272727272727,75.78181818181817,58.303509009961786
14.227272727272727,76.79090909090908,59.22135892819946
14.227272727272727,77.8,60.140063160245575
14.227272727272727,78.8090909090909,61.05960236406982
14.227272727272727,79.81818181818181,61.979957881865786
14.227272727272727,80.82727272727271,62.90111170742984
14.227272727272727,81.83636363636363,63.82304645548441
14.227272727272727,82.84545454545453,64.74574533280656
14.227272727272727,83.85454545454544,65.66919211103543
14.227272727272727,84.86363636363636,66.59337110104167
14.227272727272727,85.87272727272726,67.51826712875196
14.227272727272727,86.88181818181818,68.44386551232958
14.227272727272727,87.89090909090908,69.37015204062028
14.227272727272727,88.89999999999999,70.2971129527796
14.227272727272727,89.90909090909089,71.22473491900415
14.227272727272727,90.91818181818181,72.15300502229532
14.227272727272727,91.92727272727272,73.08191074118929
14.227272727272727,92.93636363636362,74.01143993339207
14.227272727272727,93.94545454545454,74.94158082026287
14.227272727272727,94.95454545454544,75.87232197209295
14.227272727272727,95.96363636363635,76.8036522941316
14.227272727272727,96.97272727272727,77.73556101331336
14.227272727272727,97.98181818181817,78.66803766564472
14.227272727272727,98.99090909090908,79.60107208421083
14.227272727272727,100.0,80.5346543877659
15.236363636363635,0.1,1.0193045076050411e-05
15.236363636363635,1.1090909090909091,0.013411795368993932
15.236363636363635,2.118181818181818,0.08561874595495068
15.236363636363635,3.1272727272727274,0.2443156552115418
15.236363636363635,4.136363636363636,0.49307865284832475
15.236363636363635,5.145454545454545,0.8232753052406738
15.236363636363635,6.154545454545454,1.2229344972320981
15.236363636363635,7.163636363636363,1.6806721497698245
15.236363636363635,8.172727272727272,2.186852881553571
15.236363636363635,9.181818181818182,2.7336581149244252
15.236363636363635,10.19090909090909,3.3148240689267383
15.236363636363635,11.2,3.925331683375386
15.236363636363635,12.209090909090909,4.561134884935015
15.236363636363635,13.218181818181817,5.218943831005905
15.236363636363635,14.227272727272727,5.896058028340369
15.236363636363635,15.236363636363635,6.59023936805924
15.236363636363635,16.245454545454546,7.299615621145248
15.236363636363635,17.254545454545454,8.022606759346935
15.236363636363635,18.263636363636365,8.757868299630358
15.236363636363635,19.272727272727273,9.504247370933696
15.236363636363635,20.28181818181818,10.260748341678255
15.236363636363635,21.290909090909093,11.026505685261744
15.236363636363635,22.3,11.800762370400268
15.236363636363635,23.30909090909091,12.582852504963281
15.236363636363635,24.31818181818182,13.37218728276006
15.236363636363635,25.327272727272728,14.168243516867651
15.236363636363635,26.336363636363636,14.970554215082212
15.236363636363635,27.345454545454544,15.778700780357985
15.236363636363635,28.354545454545455,16.592306514030977
15.236363636363635,29.363636363636363,17.411031170992175
15.236363636363635,30.37272727272727,18.23456637005353
15.236363636363635,31.381818181818183,19.06263170404396
15.236363636363635,32.39090909090909,19.894971425944775
15.236363636363635,33.4,20.731351611996992
15.236363636363635,34.40909090909091,21.571557721930546
15.236363636363635,35.418181818181814,22.415392491565463
15.236363636363635,36.42727272727273,23.262674104976394
15.236363636363635,37.43636363636364,24.113234602914492
15.236363636363635,38.445454545454545,24.966918491786494
15.236363636363635,39.45454545454545,25.8235815236143
15.236363636363635,40.46363636363636,26.6830896223541
15.236363636363635,41.47272727272727,27.545317935986525
15.236363636363635,42.481818181818184,28.410149997086013
15.236363636363635,43.49090909090909,29.277476977286227
15.236363636363635,44.5,30.147197023293806
15.236363636363635,45.50909090909091,31.019214663955687
15.236363636363635,46.518181818181816,31.893440279427207
15.236363636363635,47.527272727272724,32.76978962477766
15.236363636363635,48.53636363636364,33.6481834014518
15.236363636363635,49.54545454545455,34.52854687091408
15.236363636363635,50.554545454545455,35.410809505576545
15.236363636363635,51.56363636363636,36.29490467275386
15.236363636363635,52.57272727272727,37.18076934796665
15.236363636363635,53.58181818181818,38.06834385435238
15.236363636363635,54.590909090909086,38.95757162538404
15.236363636363635,55.6,39.848398988424094
15.236363636363635,56.60909090909091,40.74077496694771
15.236363636363635,57.61818181818182,41.63465109952761
15.236363636363635,58.627272727272725,42.52998127389665
15.236363636363635,59.63636363636363,43.42672157459872
15.236363636363635,60.64545454545454,44.324830142908226
15.236363636363635,61.654545454545456,45.22426704784551
15.236363636363635,62.663636363636364,46.12499416724453
15.236363636363635,63.67272727272727,47.02697507794273
15.236363636363635,64.68181818181817,47.93017495426162
15.236363636363635,65.69090909090909,48.83456047403413
15.236363636363635,66.69999999999999,49.74009973151173
15.236363636363635,67.7090909090909,50.646762156552505
15.236363636363635,68.7181818181818,51.55451843955102
15.236363636363635,69.72727272727272,52.463340461624746
15.236363636363635,70.73636363636362,53.37320122961868
15.236363636363635,71.74545454545454,54.284074815532556
15.236363636363635,72.75454545454545,55.19593630001182
15.236363636363635,73.76363636363635,56.10876171957774
15.236363636363635,74.77272727272727,57.02252801730207
15.236363636363635,75.78181818181817,57.93721299665774
15.236363636363635,76.79090909090908,58.85279527830216
15.236363636363635,77.8,59.76925425957086
15.236363636363635,78.8090909090909,60.68657007647841
15.236363636363635,79.81818181818181,61.604723568041926
15.236363636363635,80.82727272727271,62.52369624275726
15.236363636363635,81.83636363636363,63.44347024707321
15.236363636363635,82.84545454545453,64.36402833572134
15.236363636363635,83.85454545454544,65.28535384377126
15.236363636363635,84.86363636363636,66.20743066029094
15.236363636363635,85.87272727272726,67.13024320350286
15.236363636363635,86.88181818181818,68.05377639733364
15.236363636363635,87.89090909090908,68.97801564926398
15.236363636363635,88.89999999999999,69.90294682939324
15.236363636363635,89.90909090909089,70.82855625063816
15.236363636363635,90.91818181818181,71.75483064999294
15.236363636363635,91.92727272727272,72.68175717078242
15.236363636363635,92.93636363636362,73.60932334584543
15.236363636363635,93.94545454545454,74.53751708158974
15.236363636363635,94.95454545454544,75.46632664286517
15.236363636363635,95.96363636363635,76.39574063860391
15.236363636363635,96.97272727272727,77.32574800818186
15.236363636363635,97.98181818181817,78.25633800845783
15.236363636363635,98.99090909090908,79.18750020144977
15.236363636363635,100.0,80.11922444261099
16.245454545454546,0.1,9.56008275688808e-06
16.245454545454546,1.1090909090909091,0.012606474341104448
16.245454545454546,2.118181818181818,0.0808652248449538
16.245454545454546,3.1272727272727274,0.23207179486219082
16.245454545454546,4.136363636363636,0.47093466200612927
16.245454545454546,5.145454545454545,0.7900702086506316
16.245454545454546,6.154545454545454,1.1783566874766658
16.245454545454546,7.163636363636363,1.6248834310377473
16.245454545454546,8.172727272727272,2.1202468134255743
16.245454545454546,9.181818181818182,2.6567244017495746
16.245454545454546,10.19090909090909,3.228077349887226
16.245454545454546,11.2,3.8292760306593174
16.245454545454546,12.209090909090909,4.456247365884987
16.245454545454546,13.218181818181817,5.105668035964775
16.245454545454546,14.227272727272727,5.774802694056669
16.245454545454546,15.236363636363635,6.461379508370062
16.245454545454546,16.245454545454546,7.163494795697205
16.245454545454546,17.254545454545454,7.8795397627094586
16.245454545454546,18.263636363636365,8.608143902651065
16.245454545454546,19.272727272727273,9.348130934011657
16.245454545454546,20.28181818181818,10.098484220261433
16.245454545454546,21.290909090909093,10.858319401129977
16.245454545454546,22.3,11.626862549687898
16.245454545454546,23.30909090909091,12.403432597146725
16.245454545454546,24.31818181818182,13.187427080449375
16.245454545454546,25.327272727272728,13.978310497777578
16.245454545454546,26.336363636363636,14.775604727003627
16.245454545454546,27.345454545454544,15.578881088404332
16.245454545454546,28.354545454545455,16.387753727496108
16.245454545454546,29.363636363636363,17.20187406514663
16.245454545454546,30.37272727272727,18.020926116287605
16.245454545454546,31.381818181818183,18.844622520013132
16.245454545454546,32.39090909090909,19.672701155812067
16.245454545454546,33.4,20.504922245498516
16.245454545454546,34.40909090909091,21.341065859803347
16.245454545454546,35.418181818181814,22.180929763852305
16.245454545454546,36.42727272727273,23.02432754784233
16.245454545454546,37.43636363636364,23.871086998854818
16.245454545454546,38.445454545454545,24.721048677459255
16.245454545454546,39.45454545454545,25.574064668975762
16.245454545454546,40.46363636363636,26.42999748430029
16.245454545454546,41.47272727272727,27.288719089295835
16.245454545454546,42.481818181818184,28.150110045106743
16.245454545454546,43.49090909090909,29.014058744510812
16.245454545454546,44.5,29.880460731700794
16.245454545454546,45.50909090909091,30.749218094774786
16.245454545454546,46.518181818181816,31.620238921787983
16.245454545454546,47.527272727272724,32.49343681253263
16.245454545454546,48.53636363636364,33.36873043931672
16.245454545454546,49.54545454545455,34.24604315094151
16.245454545454546,50.554545454545455,35.125302614863806
16.245454545454546,51.56363636363636,36.00644049319452
16.245454545454546,52.57272727272727,36.88939214875537
16.245454545454546,53.58181818181818,37.774096377890494
16.245454545454546,54.590909090909086,38.66049516716701
16.245454545454546,55.6,39.548533471418814
16.245454545454546,56.60909090909091,40.43815901092981
16.245454545454546,57.61818181818182,41.32932208579676
16.245454545454546,58.627272727272725,42.22197540574816
16.245454545454546,59.63636363636363,43.11607393389317
16.245454545454546,60.64545454545454,44.01157474304865
16.245454545454546,61.654545454545456,44.90843688344265
16.245454545454546,62.663636363636364,45.80662126072519
16.245454545454546,63.67272727272727,46.70609052333283
16.245454545454546,64.68181818181817,47.606808958354904
16.245454545454546,65.69090909090909,48.50874239513916
16.245454545454546,66.69999999999999,49.41185811595286
16.245454545454546,67.7090909090909,50.316124773085456
16.245454545454546,68.7181818181818,51.221512311840186
16.245454545454546,69.72727272727272,52.12799189891726
16.245454545454546,70.73636363636362,53.035535855738786
16.245454545454546,71.74545454545454,53.944117596310136
16.245454545454546,72.75454545454545,54.85371156924959
16.245454545454546,73.76363636363635,55.764293203653736
16.245454545454546,74.77272727272727,56.675838858495815
16.245454545454546,75.78181818181817,57.588325775282456
16.245454545454546,76.79090909090908,58.5017320337187
16.245454545454546,77.8,59.41603651015302
16.245454545454546,78.8090909090909,60.331218838595156
16.245454545454546,79.81818181818181,61.247259374116005
16.245454545454546,80.82727272727271,62.16413915845625
16.245454545454546,81.83636363636363,63.081839887684666
16.245454545454546,82.84545454545453,64.00034388176013
16.245454545454546,83.85454545454544,64.91963405586372
16.245454545454546,84.86363636363636,65.83969389337774
16.245454545454546,85.87272727272726,66.76050742039895
16.245454545454546,86.88181818181818,67.68205918168171
16.245454545454546,87.89090909090908,68.60433421791522
16.245454545454546,88.89999999999999,69.52731804424664
16.245454545454546,89.90909090909089,70.45099662996793
16.245454545454546,90.91818181818181,71.37535637929183
16.245454545454546,91.92727272727272,72.3003841131462
16.245454545454546,92.93636363636362,73.2260670519231
16.245454545454546,93.94545454545454,74.15239279912204
16.245454545454546,94.95454545454544,75.07934932583234
16.245454545454546,95.96363636363635,76.00692495600295
16.245454545454546,96.97272727272727,76.93510835245198
16.245454545454546,97.98181818181817,77.86388850357125
16.245454545454546,98.99090909090908,78.79325471068503
16.245454545454546,100.0,79.72319657602392
17.254545454545454,0.1,9.001135029059278e-06
17.254545454545454,1.1090909090909091,0.011892418400443422
17.254545454545454,2.118181818181818,0.07661366256420989
17.254545454545454,3.1272727272727274,0.22101301137586324
17.254545454545454,4.136363636363636,0.4507562707493422
17.254545454545454,5.145454545454545,0.759591129105809
17.254545454545454,6.154545454545454,1.137199590082604
17.254545454545454,7.163636363636363,1.5731366799191622
17.254545454545454,8.172727272727272,2.0582369290280123
17.254545454545454,9.181818181818182,2.584883919659142
17.254545454545454,10.19090909090909,3.146873237813232
17.254545454545454,11.2,3.739172745212739
17.254545454545454,12.209090909090909,4.357688891213927
17.254545454545454,13.218181818181817,4.999070099210524
17.254545454545454,14.227272727272727,5.660550335130318
17.254545454545454,15.236363636363635,6.339827386918231
17.254545454545454,16.245454545454546,7.034968820872995
17.254545454545454,17.254545454545454,7.7443392860898035
17.254545454545454,18.263636363636365,8.466544072072496
17.254545454545454,19.272727272727273,9.200385001801244
17.254545454545454,20.28181818181818,9.9448257064669
17.254545454545454,21.290909090909093,10.698964070604754
17.254545454545454,22.3,11.462010193008705
17.254545454545454,23.30909090909091,12.233268621362768
